Cat Island (South), Cat Island, Bahamas:21.988779602668703
Acadia University, NS, Canada:20.071137612428014
Antigonish, NS, Canada:19.699698493188574
Blomidon Provincial Park, NS, Canada:21.852366796086773
Brier Island, NS, Canada:21.852643008519337
Caribou, NS, Canada:21.833744391045546
DeepSkyEye Observatory, NS, Canada:20.93623856604902
Gairloch Mountain Observatory, NS, Canada:21.753986501338993
Greenwood, NS, Canada:21.064030476240564
Guysborough, NS, Canada:21.254693637266836
Hall's Harbour Observatory, NS, Canada:20.93623856604902
Ingonish Beach, NS, Canada:20.93623856604902
Kejimkujik National Park, NS, Canada:20.93623856604902
Leitches Creek, NS, Canada:20.92961743649438
Liscomb Game Sanctuary, NS, Canada:21.965935239564704
Lunenburg, NS, Canada:19.871575178287706
Maple-Brook Observatory, NS, Canada:20.68202052159745
Musquodoboit Harbour, NS, Canada:21.19591885385001
New Glasgow, NS, Canada:19.58691212369665
North East Margaree, NS, Canada:21.848038225199893
Parrsboro, NS, Canada:20.705994736056272
Port Hilford, NS, Canada:21.887663135804896
Port Mouton Observatory, NS, Canada:21.67832574983367
St. Croix Observatory, NS, Canada:20.93623856604902
St. F.X. Observatory, NS, Canada:20.93623856604902
Tatamagouche, NS, Canada:21.197673000007715
The Islands Provincial Park, NS, Canada:21.078756676087455
Trout Point Lodge, NS, Canada:21.980999760425686
Two Rivers Observatory, NS, Canada:20.93623856604902
Wallace, NS, Canada:20.923938117782466
Windsor, ON, Canada:18.876126695956003
Wrights Lake Observatory, NS, Canada:21.80255388134931
Cambridge Bay, NU, Canada:18.811483881371483
Cape Dorset, NU, Canada:20.020844492835227
Chesterfield, NU, Canada:17.03507148901589
Hall Beach, NU, Canada:20.93623856604902
Igloolik, NU, Canada:20.011525261727243
Iqaluit, NU, Canada:18.585332728425172
Qikiqtarjuaq, NU, Canada:20.41721357129609
Rankin Inlet, NU, Canada:19.455443749972872
Sanikiluaq, NU, Canada:20.389396196604856
Achray Campground, ON, Canada:20.93623856604902
Algonquin Radio Observatory, ON, Canada:21.983955712202125
Allenford Observatory, ON, Canada:20.93623856604902
Anstruther Lake Observatory, ON, Canada:21.859406348284978
Arden, ON, Canada:17.868206468633456
Armstrong, ON, Canada:18.92228162451907
Ashburn Astronomical Observatory, ON, Canada:18.234263468688297
Astrodoc's Doghouse Observatory, ON, Canada:20.93623856604902
Baetsen Observatory, ON, Canada:20.93623856604902
Bancroft, ON, Canada:18.343981441735327
Barred Owl Observatory, ON, Canada:20.93623856604902
Bartole Observing Platform, ON, Canada:18.29851485391784
Bay Ridges Observatory, ON, Canada:17.258747454096525
Beckwith Park, ON, Canada:20.93623856604902
Betelgeuse Bar & Grill, ON, Canada:16.533380670833093
Big Bend Observatory, ON, Canada:21.98568579884246
Big Trout Lake, ON, Canada:20.93623856604902
Blue Braille Observatory, ON, Canada:20.93623856604902
Blue Heron Observatory, ON, Canada:20.93623856604902
Bonnechere Provincial Park, ON, Canada:21.906787741885953
Bracebridge, ON, Canada:19.781348984825147
Brampton BrightSkies Observatory, ON, Canada:20.93623856604902
Brodie Road Observatory, ON, Canada:17.838604331807772
Brundish Observatory, ON, Canada:20.93623856604902
Buckhorn Observatory, ON, Canada:21.547066466277393
Burk's Falls, ON, Canada:21.047110367770244
Burlington, ON, Canada:21.974294305745666
CAMSAT Observatory, ON, Canada:20.93623856604902
CMiller Observatory, ON, Canada:19.441439698592188
Camp Kintail, ON, Canada:21.76755042081203
Camp Opemikon, ON, Canada:21.813713658571714
Camp Saulaine, ON, Canada:20.16714770963067
Campbellford, ON, Canada:19.713083983505946
Canadian Ecology Centre Observatory, ON, Canada:21.919911182743725
Canary Rise Observatory, ON, Canada:20.93623856604902
Carr Astronomical Observatory, ON, Canada:21.086705702751306
Chickadee Ridge Observatory, ON, Canada:21.141009837647314
Churchill Chimes Equestrian Center, ON, Canada:19.553450608562866
Cobourg, ON, Canada:19.63302103053916
Colbeck Observatory, ON, Canada:20.93623856604902
Cold Creek Conservation Area, ON, Canada:20.93623856604902
Conestogo Lake, ON, Canada:20.93623856604902
Coyote Observatory, ON, Canada:19.92639583047391
Curiosity Observatory, ON, Canada:20.93623856604902
Dana-Jowsey Lakes Provincial Park, ON, Canada:21.90200726656294
David Dunlap Observatory, ON, Canada:17.657089471361267
Delhi (ON), ON, Canada:17.048105918231105
Dornoch, ON, Canada:20.84662459875661
Driftwood Provincial Park, ON, Canada:21.965487136832976
Dundalk, ON, Canada:18.65383681627523
Durham, ON, Canada:20.74231392343016
ELAC-Stanleigh, ON, Canada:17.004782596476744
ES Fox Observatory (BAS/BOEC), ON, Canada:20.93623856604902
Earl Rowe Provincial Park, ON, Canada:19.30159320378548
Elginfield Observatory, ON, Canada:20.93623856604902
Embro Observatory, ON, Canada:20.93623856604902
Fenelon Falls, ON, Canada:20.41985977252083
Fergus, ON, Canada:19.359793478828013
Firemen's Park, ON, Canada:21.285245362602343
Fisher's Paradise, ON, Canada:20.93623856604902
Five Ferns Observation Site, ON, Canada:21.992534301122124
Fort Erie Observatory, ON, Canada:20.93623856604902
Fort Severn, ON, Canada:20.981106359789976
Four Corners Algonquin Observatory, ON, Canada:21.800170956977993
Four Corners Madawaska Observatory, ON, Canada:20.93623856604902
Four Elements Observatory, ON, Canada:20.93623856604902
Foxmead Observatory, ON, Canada:20.93623856604902
Foymount, ON, Canada:21.82183969350366
Gambridge Go-Karts, ON, Canada:21.058596657864054
Gananoque, ON, Canada:19.6434693812888
Geraldton, ON, Canada:18.840165401352152
Goderich, ON, Canada:19.414733988674655
Gravenhurst, ON, Canada:19.764042484145396
Greater Napanee, ON, Canada:20.92082364591491
Haliburton County, ON, Canada:20.93623856604902
Haliburton Forest Observatory, ON, Canada:21.928481706172303
Hallam Observatory, ON, Canada:20.380549745435957
Halton Hills, ON, Canada:19.366565725389407
Hammond, ON, Canada:17.897941787967344
Hawkesbury, ON, Canada:19.021229481357675
Hearst, ON, Canada:21.930156555328598
Hiddenwell Observatory, ON, Canada:20.93623856604902
Highlands Wilderness Observatory, ON, Canada:20.93623856604902
Innisfil, ON, Canada:19.53135631357238
Inukshuk Observatory, ON, Canada:20.93623856604902
Iroquois Falls, ON, Canada:19.844485246128645
Island Grove Observatory., ON, Canada:20.93623856604902
Jock River Observatory, ON, Canada:19.818469415711288
Kakabeka Falls, ON, Canada:20.907005520875074
Kapuskasing, ON, Canada:19.08857201676072
Kathik-B Observatory, ON, Canada:20.93623856604902
Kawartha Observatory, ON, Canada:20.93623856604902
Kemptville, ON, Canada:19.637488979692062
Kendrick Astro Observatory, ON, Canada:17.258641668218985
Kincardine, ON, Canada:19.736055367667724
Kitchener-Waterloo, ON, Canada:17.758531901604186
Lagoon City, ON, Canada:20.93623856604902
Lake St. Peter Provincial Park, ON, Canada:21.962174475969
Lake Superior Provincial Park, ON, Canada:21.994276336221525
Lake of Bays, ON, Canada:21.516197162449853
Lake of the Woods (North-East), ON, Canada:21.347286874631976
Lancaster, ON, Canada:18.068762584182565
Leamington, ON, Canada:18.674368421666674
Lennox and Addington Dark Sky Viewing Area, ON, Canada:21.11474532722294
Lincoln, ON, Canada:18.80753114585616
Lloyd Manor Park, ON, Canada:20.93623856604902
London, ON, Canada:20.271609979260916
Long Point Provincial Park, ON, Canada:21.48403219612135
Loon Call Observatory, ON, Canada:20.93623856604902
Manitoulin Eco Park, ON, Canada:21.95611307259787
Marten River Provincial Park, ON, Canada:21.952982510742558
Mason Bald Observatory, ON, Canada:20.93623856604902
Merrickville, ON, Canada:20.703332866886306
Mew Lake Campground, ON, Canada:20.93623856604902
Midland, ON, Canada:21.92368818505321
Milton, ON, Canada:21.248225516523366
Minakakis Observatory, ON, Canada:20.93623856604902
Montreal River Harbour, ON, Canada:21.987116002198118
Moosonee / Moose Factory, ON, Canada:19.940750893439063
Mount Albert Lion's Club, ON, Canada:19.91851833759986
Mount Forest, ON, Canada:20.354577181561762
Mount Mould Observatory, ON, Canada:20.93623856604902
Mount Nemo Observatory, ON, Canada:20.93623856604902
