Cat Island (South), Cat Island, Bahamas:21.988779602668703
Black Kettle National Grasslands, OK, USA:21.36951741784165
Bixby Creek Observatory, OK, USA:21.240989500023773
Bartlesville, OK, USA:18.675409620239908
Aubrie Le observatory, OK, USA:21.240989500023773
Antique Photons Observatory, OK, USA:21.240989500023773
American Horse Lake, OK, USA:21.59640042490429
ACT Observatory, OK, USA:20.889744124757048
Zeppy's Astronomical Observatory, OH, USA:20.54194045832632
Zanesville, OH, USA:18.372628974869805
Youngstown, OH, USA:17.6109170050488
Wooster, OH, USA:18.483703526298015
Woodland Altars Campground, OH, USA:21.46629553254583
Wolf Creek Park, OH, USA:20.54194045832632
White Star Park, OH, USA:20.077672193010553
White Barn Observatory, OH, USA:20.54194045832632
Whisper Observatory, OH, USA:20.54194045832632
Walter E. Schuele Planetarium, OH, USA:20.54194045832632
WCAC, OH, USA:20.54194045832632
Vermilion, OH, USA:19.33010656302989
Trout Observatory, OH, USA:20.54194045832632
Tranquility Observatory, OH, USA:20.54194045832632
Tranquility Gate Observatory, OH, USA:20.54194045832632
Thomas S. Toth Observatory, OH, USA:20.54194045832632
The Troy Observatory, OH, USA:20.54194045832632
The Top Of The Sky Mini Observatory, OH, USA:20.54194045832632
Stonelick Lake State Park, OH, USA:20.111779692624186
Stillwell, OH, USA:21.2714131383948
Steubenville, OH, USA:18.838552872928677
St Clairsville, OH, USA:19.340372217139898
Solon, OH, USA:18.179808564483942
SkyWatch Observatory, OH, USA:20.54194045832632
Schoonover Observatory, OH, USA:18.363885469473914
Scenic Vista Park, OH, USA:20.56829536634834
Sandusky, OH, USA:18.55762677614896
Salt Fork State Park, OH, USA:21.01599045704365
Rome, OH, USA:21.52542179266792
Riverbend Recreation Area, OH, USA:19.8810148128373
Ritter Observatory, OH, USA:17.7398495554918
Rio Riley Solar Observatory, OH, USA:20.54194045832632
Rachel A. Hutzel Observatory, OH, USA:20.280611349133572
Porter, OH, USA:20.81084419632394
Pioneer Scout Reservation, OH, USA:21.095465115317225
Perrysburg Observatory, OH, USA:18.291959821985042
Perkins Observatory, OH, USA:19.022441694828064
Penitentiary Glen Reservation, OH, USA:19.24436131838095
Payne's Starfield Observatory, OH, USA:20.54194045832632
Observatory Park, OH, USA:20.54194045832632
Oberlin, OH, USA:18.860602077307675
ONU Observatory, OH, USA:19.677555331685696
New Bremen, OH, USA:19.66642507659793
Morrow, OH, USA:19.62113423609762
Miller Observatory, TX, USA:21.78072242628056
Marra's Frustration Center, OH, USA:20.54194045832632
Mambourg Farm Historical Park, OH, USA:20.54194045832632
Mahoning Valley Cortese Observatory, OH, USA:19.388557908572455
Madison, WI, USA:18.093776323847123
Luckey, OH, USA:19.86025126912146
Loveland, OH, USA:18.558129209120438
Lorain, OH, USA:18.262860836116147
London, OH, USA:19.198595468171273
Lamping Homestead, OH, USA:21.420194380221265
LaGrange, OH, USA:19.579888448645253
Kitt's Castle Observatory, OH, USA:20.54194045832632
KimbleLabs Observatory, OH, USA:20.54194045832632
Kilbourne Observatory, OH, USA:20.06365694429362
John Glenn Astronomy Park, OH, USA:21.399382900164852
John D. Nielsen Observatory, OH, USA:19.54733632752161
John Bryan State Park Observatory, OH, USA:19.9787464409595
Indian Lake State Park, OH, USA:20.49565836028219
Indian Hill Observatory, OH, USA:20.369552886229076
Hutville, OH, USA:19.140466111708236
Hollow Oak Observatory, OH, USA:20.54194045832632
Hiram College, OH, USA:19.88442236070466
Heidelberg College, OH, USA:18.959547488358787
HVAG SkyTour, OH, USA:20.54194045832632
Grieser Field, OH, USA:20.54194045832632
Greg's Happy Place, OH, USA:20.54194045832632
Greasy Ridge, OH, USA:21.278242215641548
Fry Family Park, OH, USA:19.89536592183479
Fred's Observatory, OH, USA:20.54194045832632
Fred Bay Observatory, OH, USA:20.54194045832632
Fort Meigs Observatory, OH, USA:20.54194045832632
Fishcreek Rd Observing Site, OH, USA:18.56931852820444
Field of Dreams Observatory, OH, USA:20.54194045832632
Eldon Russell Park, OH, USA:20.09423620075028
Easton Woods Observatory, OH, USA:20.54194045832632
Eastlake, OH, USA:18.272687777126055
Eagle's Nest, OH, USA:20.54194045832632
Dorset Wilderness Area, OH, USA:20.894768400453252
Don's Backyard, OH, USA:20.54194045832632
Defiance, OH, USA:19.013733689067855
Dayton, OH, USA:17.251317278717465
Darke Sky Ranch, OH, USA:20.491925934614258
Cuyahoga Valley National Park, OH, USA:18.898626553722067
Cosmic Orchard Observatory, OH, USA:20.54194045832632
Coshocton, OH, USA:18.87486917785698
Conneaut, OH, USA:19.681297589496232
Comprix Observatory, OH, USA:20.54194045832632
Cobblestone Creek Observatory, OH, USA:20.54194045832632
Cliff's Observatory, OH, USA:20.54194045832632
Cleveland, OH, USA:16.718672178622995
Clarke Observatory, OH, USA:20.54194045832632
Cincinnati Observatory Center, OH, USA:16.77436783592901
Cincinnati Nature Center, OH, USA:18.978491641855832
Cincinnati Astronomical Society Dark Sky Site, OH, USA:16.77436783592901
Cincinnati, OH, USA:16.77436783592901
Canfield, OH, USA:18.803478325946166
Caesar Creek State Park, OH, USA:20.06038312237687
CAA Observatory, OH, USA:20.54194045832632
Burrell Memorial Observatory, OH, USA:17.721294917822892
Burr Oak State Park, OH, USA:21.292651959389225
Burg Observatory, OH, USA:20.54194045832632
Bucyrus, OH, USA:19.1312927110886
Blue Creek, OH, USA:21.570715231430324
Black Swamp Observatory, OH, USA:20.55736480021198
Berrysville, OH, USA:21.2484156098663
Bath Nature Preseve, OH, USA:20.54194045832632
Batavia, OH, USA:19.25271424415146
Ballreich Observatory, OH, USA:20.457535874067062
BGSU Observatory, OH, USA:18.47106562375134
Athens, TX, USA:19.060483886529244
Astronomy Club of Akron Observatory, OH, USA:18.999064421387864
Asteria Observatory, OH, USA:20.54194045832632
Appold Planetarium, OH, USA:18.41205090908651
Anderson Observatory, VA, USA:19.658373657340903
Amanda, OH, USA:20.132479996766524
Williston, ND, USA:18.310132223586084
UND Observatory, ND, USA:21.786790263686864
Theodore Roosevelt National Park, ND, USA:21.66576274188483
TheDamObservatory-Lake Tschida, ND, USA:21.786790263686864
Sarles, ND, USA:21.774857874544004
Rural Logan County Observatory, ND, USA:21.965107698453615
Minot, ND, USA:18.427613878675995
Martens Observatory, ND, USA:21.81560515550221
Jackson Observatory, ND, USA:21.786790263686864
Grand Forks, ND, USA:17.914051680393634
Fargo, ND, USA:17.4854153637967
Bismarck, ND, USA:17.92785809513245
Wright Brothers National Memorial, NC, USA:19.6259255528057
Whiteside Mountain, NC, USA:21.415227550605675
WestVale Observatory, NC, USA:20.064257748908013
Weeksville, NC, USA:20.810485201308033
Wayah Bald, NC, USA:21.59286389859169
Twelve Mile Post, NC, USA:20.99921716336083
Town Creek Indian Mound, NC, USA:21.271515813558004
Thompson's Yard, NC, USA:20.064257748908013
The Peninsula Observatory, NC, USA:20.064257748908013
Syzygy Observatory, NC, USA:20.064257748908013
Surf City, NC, USA:20.199560607255602
Stone Mountain State Park, NC, USA:21.299184359037124
StarHub Observatory, NC, USA:20.064257748908013
St. James Plantation, NC, USA:20.256823748278013
Squirrel Valley Observatory, NC, USA:20.064257748908013
Spring Hope Observing Site, NC, USA:20.022997716104054
Southport, NC, USA:19.900513347346948
South Lake Norman, NC, USA:19.330596298813887
Snow Moon Camp Observatory, NC, USA:20.064257748908013
Smoky Mountain Stargaze, NC, USA:20.779002399771866
Silver Creek Observatory, NC, USA:20.064257748908013
Shallotte, NC, USA:19.369462486837634
Seven Mile Ridge Observatory, NC, USA:21.350064886941492
Seaman Observatory, NC, USA:20.064257748908013
ScottNC Observatory, NC, USA:20.064257748908013
Rutherford County Astronomical Society - Site 1, NC, USA:20.66167692338368
Robeson Planetarium and Science Center, NC, USA:18.76204993202147
Red Door Observatory, NC, USA:20.064257748908013
Raven Rock State Park, NC, USA:20.487276003944846
Rankin Science Observatory, NC, USA:20.064257748908013
Raleigh, NC, USA:17.353142261064427
Princeton Observatory, NC, USA:19.67450450251982
Presbyterian Point, NC, USA:21.283418349758318
Pisgah Astronomical Research Institute, NC, USA:20.064257748908013
Pinehurst, NC, USA:19.555890852814553
Pilot Mountain, NC, USA:20.095546432719637
Pickersville Observatory, NC, USA:20.992364490622897
Pettigrew State Park, NC, USA:21.75840407758321
Peppermill Observatory, NC, USA:20.064257748908013
Pegasus Observatory, NC, USA:20.064257748908013
Peek Observatory, NC, USA:20.064257748908013
Ocracoke Campground, NC, USA:21.334068817390158
Oak Ridge, TN, USA:18.489871734316388
NovaLab Observatory, NC, USA:20.064257748908013
Mt. Pisgah Parking Lot, NC, USA:21.089990633063532
Mountain High observatory, NC, USA:20.064257748908013
Mount Mitchell, NC, USA:21.3956690176725
Mount Airy, NC, USA:19.24250568162011
Morning Star Observatory, WV, USA:21.845618733089303
Morganton, NC, USA:18.86106501185414
Morehead Observatory, NC, USA:19.061291785622217
Mill Ridge, NC, USA:20.976980987601905
Merchants Millpond State Park, NC, USA:21.028768065319642
Medoc Mountain State Park, NC, USA:21.092083772257663
Mayland Earth to Sky Park, NC, USA:21.213264288973747
M.A.R.S.Observatory, NC, USA:20.064257748908013
Lucile Miller Observatory, NC, USA:19.441439698592188
Kilpatrick Point Observatory, NC, USA:21.198392726745702
Jordan Lake, NC, USA:20.278303070858218
Indian Trail, NC, USA:18.54991328104736
Howell Woods, NC, USA:17.996519854376345
His Glassworks Observatory, NC, USA:19.627659103024744
Hillsborough, NC, USA:19.24059967800617
High Rock Lake Observatory, NC, USA:20.305732206360496
High Point, NC, USA:17.67753903379199
High Peak Observatory, NC, USA:20.064257748908013
Hickory, NC, USA:18.38228444573926
Hendersonville, TN, USA:18.221980189389
Hampton-Harmon Observatory, NC, USA:20.47231022329239
Hammocks Beach State Park, NC, USA:20.049649871349047
Greensboro, NC, USA:17.36341484918618
Grassland Mountain Observatory, NC, USA:21.382472281345255
Glens of Grandfather Mountain, NC, USA:21.138088407255154
Gastonia, NC, USA:18.167639011100384
Gaston County, NC, USA:18.553388160424714
Foothills Astronomical Society, NC, USA:20.064257748908013
Firefly Observatory, NC, USA:20.064257748908013
Ferry Point observatory, NC, USA:20.064257748908013
Fayetteville, NC, USA:17.49808992142377
Fairfield Harbor, NC, USA:20.375357394271667
Doughton Park, NC, USA:21.504024225386157
Dogstar Observatory, NC, USA:20.064257748908013
Dill Knob Observatory, NC, USA:20.898603984762072
Craven E Williams Observatory, NC, USA:19.91254929751109
CopperHead Ridge Observatory, NC, USA:20.064257748908013
Concord-Kannapolis, NC, USA:18.578267721313566
Colby Observing Site, NC, USA:20.064257748908013
Clayton, SD, USA:21.815893511315284
Circle City Observatory, NC, USA:20.738166408648326
Chrysalis Observatory, NC, USA:20.064257748908013
Cherry Hill Farm, NC, USA:20.335371358986258
Charlotte, NC, USA:16.999294480969414
Chapel Hill, NC, USA:18.212814124566663
Carolina Beach State Park, NC, USA:19.640258342720855
Cape Lookout National Seashore, NC, USA:21.698302807077223
CFAS, NC, USA:20.064257748908013
Burlington, VT, USA:18.845837789383204
Browns Summit, NC, USA:19.77579845437751
Brevard, NC, USA:19.950830165390975
Blue Ridge Observatory, VA, USA:20.484265981002725
Bladen Lake State Forest, NC, USA:20.93281450139953
Banjo Creek, NC, USA:20.064257748908013
Ballantyne Observatory, NC, USA:18.1702977103835
Bahama, NC, USA:20.02156061859273
Avon, NC, USA:20.794128827523636
Astroquest, NC, USA:20.064257748908013
Asheville, NC, USA:18.634252973156133
Asheboro, NC, USA:18.807743672781985
Arrowhead Beach, NC, USA:21.067776699683947
Aramesh, NC, USA:20.064257748908013
Animal Park at the Conservators Center, NC, USA:20.660613072198604
Allison's Woods, NC, USA:20.183913993353457
ASU Dark Sky Observatory, NC, USA:20.064257748908013
ACME Planetary Observatory, NC, USA:20.179804275990087
3B Observatory, NC, USA:20.064257748908013
Wright's Mill Observatory, NY, USA:21.73851607009904
Wonder Lake State Park, NY, USA:20.268610119277373
Windy Sky Observatory, NY, USA:16.66536094389962
Wilcox Park, NY, USA:21.21441249480958
West Point Observatory, WI, USA:20.89771364237708
Webster Park, NY, USA:19.089564709384874
Weathertop Observatory, NY, USA:21.73851607009904
Waterville Public Libarary, NY, USA:21.73851607009904
Watertown, SD, USA:18.394629431315824
Ward Pound Ridge Reservation, NY, USA:20.100229638380817
Waning Crescent Observatory, NY, USA:21.73851607009904
Walnut Mountain Park, NY, USA:20.47177368497105
Wakely Mountain, NY, USA:21.933729807270876
Wading River, NY, USA:19.718663176708763
Voorheesville, NY, USA:19.681490975764557
Virgil Observatory, NY, USA:21.73851607009904
Upstate Stars Observatory, NY, USA:21.73851607009904
Union College Observatory, NY, USA:21.73851607009904
Transit Dreams North, NY, USA:21.73851607009904
Tooley Pond, NY, USA:21.88375845522617
Tobey Memorial Observatory, NY, USA:16.66536094389962
Tiplady Farms Observatory, NY, USA:21.73851607009904
Timerson Observatory, NY, USA:16.66536094389962
Thomas J Boyce Park, NY, USA:20.64409906951902
Theodore Roosevelt Nature Center, NY, USA:18.876530550739574
The Smith Observatory, NY, USA:16.66536094389962
The Observatory at Tangleroot Farm, NY, USA:21.58808732820193
The Mount Academy, NY, USA:20.57235997071034
The Marian and Max Farash Center for Observational Astronomy, NY, USA:20.413568452343736
The Knob, NY, USA:21.567765348146217
The HomCav Observatory, NY, USA:16.66536094389962
Syracuse, NY, USA:17.408004543479844
Supernova Observatory, NY, USA:16.66536094389962
Sunken Meadow State Park, NY, USA:19.151264887722935
Stull Observatory, NY, USA:21.73851607009904
StonyHill Observatory, NY, USA:21.73851607009904
Stony Creek Ranch Resort Observatory, NY, USA:21.44081117299079
Stoney Hill Observatory, NY, USA:16.66536094389962
Stone Tavern Farm, NY, USA:21.69560706431394
Starry Knoll, NY, USA:21.73851607009904
Starmere Observatory, NY, USA:16.66536094389962
Stargate 4173 at Grimaldi Tower, NY, USA:21.73851607009904
Star Watcher Observatory, NY, USA:16.66536094389962
South Fork Natural History Museum and Nature Center, NY, USA:20.56159208151555
Solis Lacus Observatory, NY, USA:16.66536094389962
Shinnecock Hills Golf Club, NY, USA:20.037321283656517
Schroon Lake, NY, USA:21.167330842907017
Saranac Lake Observatory, NY, USA:20.54322868404644
Sam's Point, NY, USA:20.919303953196117
SUNY Ulster, NY, USA:20.636811173293985
Robert Moses State Park, NY, USA:19.522952805525318
Richard S. Perkin Observatory, NY, USA:16.66536094389962
Rensselaerville, NY, USA:21.419430693114496
Rand Observatory II, NY, USA:21.73851607009904
Potsdam, NY, USA:19.317392005593376
Port Jervis, NY, USA:19.573587962188974
Port Chester, NY, USA:18.202191191370044
Plattsburgh, NY, USA:18.279157793410057
Phoenicia, NY, USA:21.159546054597183
Peters Observatory, NY, USA:21.73851607009904
Perry Observatory, NY, USA:21.73851607009904
Peppermill Skies Observatory, NY, USA:16.66536094389962
Oyster Bay, NY, USA:18.59030058123754
Owego, NY, USA:19.983871961717732
Ossian Observatory, NY, USA:21.338860267464607
Orbit Jet Observatory, NY, USA:16.66536094389962
Old Forge, NY, USA:21.287100748325905
Norwich, NY, USA:19.802021799465653
Norton Cemetery, NY, USA:21.73851607009904
North-South Lake, NY, USA:21.299779130094347
Niagara Falls, NY, USA:18.013398395738378
New Paltz, NY, USA:19.423446429294792
National Golf Links of America, NY, USA:16.66536094389962
Narrowsburg, NY, USA:21.28836994439065
NEAF, NY, USA:16.66536094389962
Mt. Stony Brook Observatory, NY, USA:21.73851607009904
Morehouse Lake Observatory, NY, USA:21.73851607009904
Montauk Point State Park, NY, USA:21.54854384495221
Monsey Observatory, NY, USA:18.335589326323987
Millsite Lake, NY, USA:21.50858298635358
Mills Norrie State Park, NY, USA:20.524171802949738
Middlebury Observatory, NY, USA:20.965538015917684
Memorial Field of Flushing, NY, USA:17.259561843697817
Massena, NY, USA:18.978960795910062
Martz-Kohl Observatory, NY, USA:21.73851607009904
Marshall Hill Observatory, NY, USA:21.73851607009904
Marathon, TX, USA:21.854906387428557
Malone, NY, USA:19.674566575422638
MVAS Observatory, NY, USA:21.73851607009904
Lyons, NY, USA:20.001681370683517
Long Point on Lake Chautauqua, NY, USA:20.98611912048404
Long Lake, WY, USA:18.760968148242277
Lone Pine Observatory, NY, USA:21.73851607009904
Liverpool, NY, USA:18.80865003667778
Lime Lake, NY, USA:21.028346091565602
Lewis County Fairgrounds, NY, USA:19.96056307793454
Lake Taghkanic State Park, NY, USA:21.299300501207536
Lake Harris Campground, NY, USA:21.79531936410304
Kristina Observatory, NY, USA:16.66536094389962
Knox Octagon Barn, NY, USA:21.00984881326239
Kitters Angola Observatory, NY, USA:19.844072211055312
Kellogg Observatory, NY, USA:21.73851607009904
Jamestown, NY, USA:18.4912658660223
James Baird State Park, NY, USA:20.03913672927016
JGS Observatory, NY, USA:16.66536094389962
Holt Rd. Observatory, NY, USA:21.73851607009904
Hirsch Observatory, NY, USA:21.73851607009904
Highwinds Observatory, NY, USA:21.73851607009904
Hewlett Observatory, NY, USA:17.49357913675094
Hauppauge, NY, USA:18.258092679342806
Hart Island, NY, USA:18.108540591360743
Hamptons Observatory, NY, USA:20.50093574622354
Hamlin Beach State Park, NY, USA:20.846365543808478
Half Hollow Hills, NY, USA:18.256941566050884
Great Neck South High Big Blue Rebel Observatory, NY, USA:17.50594139598439
Graystar Observatory, NY, USA:16.66536094389962
Grafton Lakes State Park, NY, USA:20.87605744058735
Glens Falls, NY, USA:18.641665683168448
Gabriel Lake, NY, USA:21.008161295406754
Fredonia Observatory, NY, USA:19.345601590049473
Forest Lake, NY, USA:21.73851607009904
Foggy Bottom Observatory, NY, USA:16.386167401983652
Floyd Bennett Field, NY, USA:17.98365336493492
Fleischmanns Observatory, NY, USA:21.39066020634717
Fishkill, NY, USA:18.612220675469366
Finger Lakes Regional Airport, NY, USA:20.55995060666873
Fair Haven, NY, USA:20.95943144469152
Eyeline Observatory, NY, USA:16.66536094389962
Ernest B Wright Observatory, NY, USA:21.73851607009904
Elliott-Astronomy Observatory, NY, USA:16.66536094389962
Ellicottville Observatory, NY, USA:20.296626312478477
Eileen Collins Observatory, NY, USA:21.73851607009904
Draper Park, NY, USA:21.73851607009904
Dexter, NY, USA:20.380509250620843
Deposit, NY, USA:20.99919354974663
Dark Arts Observatory, NY, USA:16.66536094389962
DaVinci Observatory, NY, USA:16.66536094389962
Corvus Observatory, NY, USA:16.66536094389962
Cobleskill, NY, USA:20.013653450073207
Clarkson Observatory, NY, USA:19.752631992529388
Clarence Fahnestock Memorial State Park, NY, USA:20.302162104800843
Christel Observatory, NY, USA:16.66536094389962
Caumsett State Park, NY, USA:19.442384750524553
Camp Observatory, NY, USA:16.66536094389962
CSI Astrophysical Observatory, NY, USA:17.321903475100818
CNYAC Observatory, NY, USA:16.66536094389962
C.E.K. Mees Observatory, NY, USA:21.73851607009904
Buffalo, SD, USA:21.386806717880095
Brookhaven, NY, USA:19.253903094600492
Brockport State Observatory, NY, USA:19.206188412081215
Broadway Observatory, NY, USA:16.66536094389962
Breyo Observatory, NY, USA:16.66536094389962
Bolton Landing, NY, USA:21.17595650100939
Blue Heron Cove Observatory, NY, USA:21.73851607009904
Black Forest, NY, USA:16.894874178943606
Black Bear Observatory, NY, USA:16.66536094389962
Bellvale Observatory, NY, USA:20.140090351928823
Baltimore Woods Nature Center, NY, USA:21.73851607009904
Averted Vision Observatory, NY, USA:16.66536094389962
Au Sable Forks Observatory, NY, USA:21.16467842528908
Armour Observatory, NY, USA:21.73851607009904
Angel Light Observatory, NY, USA:16.66536094389962
Amagansett, NY, USA:20.504291556485605
Altona Observatory, NY, USA:20.47899298413752
Afterwood Observatory, NY, USA:16.66536094389962
Adirondack Public Observatory, NY, USA:21.73851607009904
Adirondack Astronomy Retreat, NY, USA:21.84746700736901
AAAA Galway, NY, USA:20.73106478008067
Zuni, NM, USA:20.664087082228413
Wolf Creek Estates Observatory, NM, USA:21.930374525195795
White Sands National Park, NM, USA:21.816484860303106
White Rock, NM, USA:21.04964179570255
White Ridge parking lot, NM, USA:21.56298557313188
Vista Larga Observation Area, NM, USA:21.930374525195795
Vaughn, NM, USA:21.534259193414115
Valley Vista Observatory, NM, USA:21.930374525195795
Vallecito Observatory, NM, USA:21.954904359820286
Valle Grande Entrance Station, NM, USA:19.80578238232754
VLA, NM, USA:21.989279579717813
Tzec Maun Observatory, NM, USA:21.930374525195795
Truchas, NM, USA:21.69899379992134
Top Of The World Observatory, NM, USA:21.930374525195795
Three Rivers, NM, USA:21.943673375768114
Telescopes in Education, NM, USA:21.930374525195795
Tatum, NM, USA:21.1733903957486
Taos, NM, USA:20.632198089840088
Tanager Observatory, NM, USA:21.930374525195795
Sunflower Observatory, NM, USA:21.930374525195795
Sugarite Canyon State Park, NM, USA:21.62787036160335
Star Hill Inn, NM, USA:21.930374525195795
SkyPi RO and Howling Coyote RO, NM, USA:21.930374525195795
Sky Ranch Observatory, NM, USA:21.930374525195795
Silver City, NM, USA:20.76937550804127
Santa Fe, NM, USA:19.657120119675632
San Ysidro, NM, USA:21.564761355663464
San Pedro Creek, NM, USA:21.056331112914616
STACEE, NM, USA:21.930374525195795
Roswell, NM, USA:19.116402218481856
Ring Place, NM, USA:21.974469522971926
Rehoboth, NM, USA:20.426769699287128
Raven Sky Observatory, NM, USA:21.930374525195795
Rattle Snake Springs, NM, USA:21.62791222763378
Rancho Hidalgo, NM, USA:21.989416218248678
Rainbow Park Observatory, NM, USA:19.538034090699732
Pelona Mountain, NM, USA:21.99728349266894
Pancho Villa State Park, NM, USA:21.365780275465767
Oliver Lee Memorial State Park, NM, USA:21.631219742064552
Observaterry, NM, USA:21.930374525195795
Oak Flat Picnic Area, NM, USA:21.930374525195795
New Mexico Astronomy Village, NM, USA:21.930374525195795
NF/ Observatory, NM, USA:21.930374525195795
Modest Pinon Observatory, NM, USA:21.94880083097991
Mesa Vista Observatory, NM, USA:21.930374525195795
Magdalena Ridge Observatory, NM, USA:21.951728459810024
Lordsburg, NM, USA:20.443097297190178
Living Desert State Park, NM, USA:19.96026553227574
Leasburg Dam State Park, NM, USA:21.246867594296386
Lamy Ridge Observatory, NM, USA:21.56461276172243
La Cienega Alta Observatory, NM, USA:21.00139030879357
LINEAR, NM, USA:21.930374525195795
Killer Rocks Observatory, NM, USA:21.930374525195795
Juniper Campground, NM, USA:21.26649871163905
Horizon Vista Observatory, NM, USA:21.930374525195795
Hobbs, NM, USA:18.932826713159574
Hat Ranch Observatory, NM, USA:21.930374525195795
Grants, NM, USA:20.259908633723786
Gila Cliff Dwellings National Monument, NM, USA:21.930374525195795
Ghost Ranch, NM, USA:21.946796316967962
General Nathan Twining Observatory, NM, USA:21.581832082818043
Gallup, NM, USA:19.49844844944959
Fort Sumner, NM, USA:21.276393448099853
Fenton Hill Observtory, NM, USA:21.858443478991802
FOAH Observatory, NM, USA:21.930374525195795
Etscorn Campus Observatory, NM, USA:20.442029273748208
Espanola, NM, USA:20.08060198064695
Enchanted Forest Ski Area, NM, USA:21.87975961866804
Elizabeth Ann Machol Dragonfly Observatory, NM, USA:21.930374525195795
El Rito Observatory, NM, USA:21.82670503051894
El Morro National Monument Visitor Center, NM, USA:21.925172662643337
El Camino Real Historic Trail Site, NM, USA:21.979407331640946
Edgewood Skies Observatory, NM, USA:21.930374525195795
Dutchman's Hill Observatory, NM, USA:21.930374525195795
Dome Valley Observatory, NM, USA:21.930374525195795
Dixon Ball Field, NM, USA:21.930374525195795
Deneb Observatory, ND, USA:21.786790263686864
Deep Sky West Remote Observatory, NM, USA:21.930374525195795
Datil Well Recreation Area Campground, NM, USA:21.992000842336488
Darlington Observatory, NM, USA:21.930374525195795
Dark Sky New Mexico, NM, USA:21.984172742198094
Dark Skies Unlimited Observatory, NM, USA:21.930374525195795
Dark Ridge Observatory, NM, USA:21.930374525195795
DSO - Upham, NM, USA:21.931753405231536
Cowles, NM, USA:21.8064057162597
Cosmos Observatory, NM, USA:21.930374525195795
Cosmic Campground, NM, USA:21.99231772785224
Corrales, NM, USA:19.323782518914776
Coronado State Monument, NM, USA:20.67005734909375
Clovis, NM, USA:19.146627349617386
Clayton Lake State Park, NM, USA:21.97174727246935
City of Rocks State Park, NM, USA:21.899583294380562
Charles Nicholas Memorial Observatory, NM, USA:21.930374525195795
Chaco Culture National Historical Park, NM, USA:21.902405739195103
Celescina Ramah New Mexico Observatory, NM, USA:21.788718369826487
Casitas de Gila Observatory, NM, USA:21.930374525195795
Casa Victoria Observatory, NM, USA:21.930374525195795
Casa De Kayla Observatory, NM, USA:21.930374525195795
Carlsbad Caverns Visitor Center, NM, USA:21.55875080526892
Capulin Volcano National Monument, NM, USA:21.930374525195795
Capilla Peak Observatory, NM, USA:21.631711842865545
Camp Tres Ritos, NM, USA:21.91084326256956
Camino de Estrella Observatory, NM, USA:21.930374525195795
Caballo Lake State Park, NM, USA:21.90237248886014
Bosque Farms Observatory, NM, USA:20.24434956201435
Bluewater Lake State Park, NM, USA:21.73997940633684
Astronomers Paradise, NM, USA:21.930374525195795
Artesia, NM, USA:18.803721040319083
Aqua Fria Peak, NM, USA:21.896491272787824
Anadromada Observatory, NM, USA:21.930374525195795
Amigo Too, NM, USA:21.930374525195795
Altair Observatory, NM, USA:21.930374525195795
Albuquerque, NM, USA:18.03821497302079
Alamogordo, NM, USA:19.75143659033366
A-T-P, NM, USA:21.930374525195795
William D. McDowell Observatory, NJ, USA:17.346776927297647
Wawayanda State Park, NJ, USA:20.23534865636068
WHOPPER Observatory, NJ, USA:19.907337477427625
Voorhees State Park, NJ, USA:19.979880153865487
Vincent Court Observatory, NJ, USA:19.907337477427625
Trenton (NJ), NJ, USA:17.41600902632606
The SkyRunner Observatory, NJ, USA:19.907337477427625
Tenafly Observatory, NJ, USA:17.874985971458496
Teeter's Telescopes Workshop, NJ, USA:19.740983161485815
Stokes Starparty, NJ, USA:19.907337477427625
Stardom Observatory, NJ, USA:19.907337477427625
Sperry Observatory, NJ, USA:17.85407239414435
Sourland Mountain Observatory, NJ, USA:19.692176737048573
Sky Bright Observatory, NJ, USA:19.907337477427625
Sheep Hill Observatory, NJ, USA:18.70882327549987
Sewell, NJ, USA:18.51131856546878
Rowan Astronomical Observatory, NJ, USA:19.907337477427625
Robert A. Schommer Observatory, NJ, USA:19.907337477427625
Princeton University, NJ, USA:18.611627257283885
Pine Valley Golf Club, NJ, USA:18.549331528401
Pine Cone Observatory, NJ, USA:19.907337477427625
North Jersey Astronomical Group, NJ, USA:19.907337477427625
Newark, OH, USA:18.416226592802342
Morris County Observatory, NJ, USA:19.100478394949633
Montague, NJ, USA:20.7111639288886
Monroe CAM, NJ, USA:18.772251170032156
Middleville, NJ, USA:20.653013472560453
Metuchen, NJ, USA:17.77065881862736
Lambert Observatory, NJ, USA:19.907337477427625
Lakehurst, NJ, USA:18.979638311116062
Lake Hopatcong State Park, NJ, USA:19.596836485321898
Justin's Space Pictures Observatory, NJ, USA:19.907337477427625
Joseph D. Tatem Observatory, NJ, USA:19.907337477427625
Jenny Jump State Forest, NJ, USA:20.4956979941049
Island Beach State Park, NJ, USA:20.56554461073752
Inlet Outlet Observatory, NJ, USA:18.80803243716306
Holmdel, NJ, USA:19.00504348891569
Holly Dome Observatory, NJ, USA:19.907337477427625
Holgate, NJ, USA:19.891839617321523
High Point State Park, NJ, USA:20.81438252209044
High Mountain Observatory, NJ, USA:19.400423177147587
Harold E. Taylor Observatory, NJ, USA:19.20705269256244
Hamburg (NJ), NJ, USA:19.76912880346436
Halliday Observatory, NJ, USA:19.907337477427625
Great Hall, MU, NJ, USA:19.907337477427625
Dreyfuss Planetarium, NJ, USA:16.590519615129597
Dogwood Observatory, NJ, USA:19.907337477427625
Deer Path Park, NJ, USA:19.833111192150746
Colliers Mills WMA, NJ, USA:19.893110869764552
Chiaro Observing Site, NJ, USA:19.907337477427625
